日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,94,30,61,136,29,29,1.32,14
2013-10-29,良,86,41,61,115,27,29,1.39,18
2013-10-30,良,77,38,56,74,24,30,1.30,26
2013-10-31,良,74,41,51,93,19,42,1.31,24
2018-07-01,优,45,159,21,41,6,26,0.58,69
2018-07-02,优,43,140,21,40,5,32,0.65,70
2018-07-03,良,53,217,30,54,13,44,0.88,52
2018-07-04,良,52,194,19,38,9,32,0.77,88
2018-07-05,良,61,273,24,60,11,44,0.90,65
2018-07-06,良,54,255,23,52,10,34,0.79,75
2018-07-07,良,55,277,28,58,11,40,0.87,64
2018-07-08,优,43,208,24,38,8,37,0.69,56
2018-07-09,良,75,350,28,45,8,33,0.71,102
2018-07-10,优,45,205,19,44,8,39,0.78,46
2018-07-11,良,73,333,29,68,9,40,0.76,90
2018-07-12,良,88,350,34,87,20,46,0.80,98
2018-07-13,良,87,361,26,82,15,43,0.79,91
2018-07-14,良,52,238,20,53,17,29,0.54,61
2018-07-15,中度污染,175,362,73,232,7,25,0.55,91
2018-07-16,良,93,356,37,96,8,48,0.81,97
2018-07-17,良,73,330,27,86,11,46,0.71,71
2018-07-18,优,44,151,19,43,6,22,0.56,62
2018-07-19,良,65,293,27,50,8,25,0.66,100
2018-07-20,优,48,155,24,40,5,26,0.52,74
2018-07-21,良,61,213,22,52,7,41,0.90,84
2018-07-22,良,79,326,28,69,11,45,0.84,85
2018-07-23,优,47,140,19,35,6,33,0.58,87
2018-07-24,良,85,346,32,68,7,50,0.88,98
2018-07-25,良,83,329,27,79,11,47,0.87,90
2018-07-26,良,63,257,30,69,6,31,0.67,76
2018-07-27,良,60,270,31,65,5,29,0.63,72
2018-07-28,优,48,154,20,45,4,22,0.58,71
2018-07-29,良,67,247,27,81,5,19,0.61,77
2018-07-30,良,54,183,20,53,4,23,0.60,77
2018-07-31,良,52,186,21,48,5,28,0.70,83
