日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,62,9,38,74,11,39,0.59,60
2013-10-29,良,52,13,25,55,11,42,0.48,57
2013-10-30,优,46,9,22,47,9,36,0.52,48
2013-10-31,优,36,1,17,34,5,23,0.43,57
2013-11-01,优,46,4,27,45,6,25,0.53,59
2013-11-02,优,46,6,21,48,8,44,0.65,38
2013-11-03,优,39,5,20,36,7,45,0.71,28
2013-11-04,良,57,12,39,55,8,40,0.85,45
2013-11-05,良,53,9,29,53,10,25,0.62,63
2013-11-06,良,51,2,34,68,15,59,0.81,36
2013-11-07,良,69,9,56,88,14,43,0.72,60
2013-11-08,良,88,35,60,94,12,40,1.10,66
2013-11-09,良,62,19,29,54,8,40,0.96,34
2013-11-10,优,43,9,28,53,9,34,0.79,39
2013-11-11,优,41,8,10,19,5,28,0.68,44
2013-11-12,优,25,7,15,26,6,38,0.78,36
2013-11-13,优,24,4,7,17,6,38,0.69,34
2013-11-14,优,34,10,22,51,8,49,0.82,33
2013-11-15,良,51,16,29,51,8,40,0.85,30
2013-11-16,良,62,17,54,89,20,42,1.12,56
2013-11-17,良,72,26,45,90,14,50,0.84,50
2013-11-18,良,78,45,49,121,18,48,0.77,57
2013-11-19,良,75,30,45,99,19,48,0.73,62
2013-11-20,良,69,21,44,88,17,50,0.71,60
2013-11-21,良,61,9,32,68,12,46,0.68,51
2013-11-22,良,53,6,29,55,10,44,0.72,58
2013-11-23,良,56,8,34,79,10,48,0.79,56
2013-11-24,良,63,13,34,69,9,55,0.90,35
2013-11-25,优,49,2,20,42,10,30,0.81,50
2013-11-26,良,60,17,34,104,11,37,0.66,54
2013-11-27,良,80,49,41,105,10,42,0.71,37
2013-11-28,良,60,37,37,61,13,33,0.67,44
2013-11-29,良,55,20,25,50,15,36,0.53,55
2013-11-30,优,50,3,32,63,14,51,0.60,42
2013-12-01,良,56,6,35,60,12,48,0.62,52
2013-12-02,良,59,4,50,79,17,60,0.66,59
2013-12-03,良,84,15,63,102,21,69,0.78,55
2013-12-04,良,81,10,52,96,17,56,0.66,54
2013-12-05,良,67,6,50,73,13,54,0.64,53
2013-12-06,良,72,15,50,83,12,53,0.72,62
2013-12-07,良,90,17,107,158,19,47,1.11,65
2013-12-08,中度污染,164,39,94,140,15,51,1.10,52
2013-12-09,轻度污染,102,29,62,87,9,46,0.85,51
2013-12-10,轻度污染,117,62,97,101,23,36,1.12,44
2013-12-11,轻度污染,103,49,65,93,19,40,0.96,45
2013-12-12,良,80,26,60,92,25,51,0.95,37
2013-12-13,良,85,34,63,92,19,55,1.02,43
2013-12-14,良,86,27,62,99,17,63,1.01,41
2013-12-15,良,57,14,18,34,7,40,0.72,46
2013-12-16,优,26,5,7,15,6,41,0.63,45
2013-12-17,优,25,21,10,20,7,48,0.68,32
2013-12-18,优,20,3,11,19,6,32,0.61,27
2013-12-19,优,32,7,31,49,11,32,0.55,48
2013-12-20,良,66,26,44,65,18,35,0.70,56
2013-12-21,良,64,15,61,79,23,38,0.82,62
2013-12-22,轻度污染,104,22,76,103,20,51,0.89,47
2013-12-23,良,75,7,45,76,13,62,0.66,37
2013-12-24,良,61,3,44,59,19,35,0.61,60
2013-12-25,良,74,7,64,92,25,63,0.76,43
2013-12-26,良,92,19,68,89,18,53,0.80,45
2013-12-27,轻度污染,113,56,109,130,38,47,0.96,54
2013-12-28,轻度污染,146,87,93,105,26,48,0.96,48
2013-12-29,良,89,35,44,67,22,47,0.60,50
2013-12-30,良,66,5,58,82,28,74,0.64,35
2013-12-31,良,88,28,65,92,19,85,0.72,37
2014-01-01,良,83,25,54,83,17,75,0.71,46
2014-01-02,良,80,23,63,103,23,97,0.95,42
2014-01-03,轻度污染,103,58,76,125,18,88,1.21,45
2014-01-04,轻度污染,122,95,92,119,31,76,1.16,42
2014-01-05,重度污染,205,145,157,205,42,75,1.41,42
2014-01-06,轻度污染,115,49,78,140,27,50,0.99,44
2014-01-07,良,57,11,28,63,15,66,0.79,33
2014-01-08,良,54,41,37,58,11,47,0.98,43
2014-01-09,优,44,9,27,42,10,34,0.73,39
2014-01-10,良,52,4,30,55,13,35,0.59,44
2014-01-11,良,63,22,33,75,10,50,0.72,34
2014-01-12,良,60,30,34,73,8,49,0.72,31
2014-01-13,优,42,8,27,39,9,32,0.78,33
2014-01-14,良,53,18,36,53,9,40,0.80,35
2014-01-15,良,66,18,43,64,15,32,0.67,58
2014-01-16,良,54,9,30,59,12,52,0.59,43
2014-01-17,良,59,5,36,67,11,68,0.64,30
2014-01-18,轻度污染,101,44,72,104,19,57,0.88,52
2014-01-19,轻度污染,140,78,104,127,23,46,1.02,57
2014-01-20,良,80,45,57,89,12,57,0.81,37
2014-01-21,轻度污染,105,133,73,141,26,45,2.41,53
